DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
D,M,D,5J,U,5J,A,EUR,TO1,A,A,3,C,K,S,2022-S1,6444.786
A,A,B,5J,C,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,1085855.432
A,A,B,5J,C,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,1069497.784
A,A,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,7589196.914
A,A,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,8162617.627
A,S,D,5J,C,5J,A,TO1,CAD,A,A,3,A,K,S,2021-S2,11656.036
A,S,D,5J,C,5J,A,TO1,CAD,A,A,3,A,K,S,2022-S1,10966.883
A,D,T,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,5496293.491
A,D,T,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,6164150.286
A,R,B,5J,U,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,1392444.673
A,R,B,5J,U,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,1678206.89
D,T,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,33469.814
D,T,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,21702.881
A,W,T,5J,Z,5J,J,TO1,TO1,A,A,3,C,K,S,2021-S2,3322071.0
A,W,T,5J,Z,5J,J,TO1,TO1,A,A,3,C,K,S,2022-S1,3527091.0
A,A,E,5J,A,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,4607037.493
A,A,E,5J,A,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,4513539.715
D,S,D,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2021-S2,702.176
D,S,D,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2022-S1,400.708
A,I,B,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2021-S2,110.0
A,I,B,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2022-S1,151.909
D,S,D,5J,C,5J,A,GBP,TO1,A,A,3,A,K,S,2021-S2,7488.862
D,S,D,5J,C,5J,A,GBP,TO1,A,A,3,A,K,S,2022-S1,9392.421
A,V,T,5J,U,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,12196.0
A,V,T,5J,U,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,7802.0
A,U,T,5J,P,5J,A,TO1,TO1,A,Z,3,C,K,S,2021-S2,148070.0
A,U,T,5J,P,5J,A,TO1,TO1,A,Z,3,C,K,S,2022-S1,165661.0
A,T,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2021-S2,933120.891
A,T,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2022-S1,1145641.585
