COMMENT,Currency,Time_Span,Measure_Type,INPUT,CNTRCT_DRVTS,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,N_A,CREEQ,N_A,SWAP_CURRENCY_FCYINRIRS,BK_B,GL_OP,S1336,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST,TR_B,GL_OP,S1339,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,TR_B,GL_OP,S1340,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST,BK_B,GL_OP,S1341,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,BK_B,GL_OP,S1342,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,TR_B,GL_OP,S1344,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,BK_B,GL_OP,S1345,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1348,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1349,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1350,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1351,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1353,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1354,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1357,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1358,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1359,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1360,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1362,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1363,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,TR_B,GL_OP,S1375,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,TR_B,GL_OP,S1376,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,BK_B,GL_OP,S1377,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,BK_B,GL_OP,S1378,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_SOLD,TR_B,GL_OP,S1380,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_SOLD,BK_B,GL_OP,S1381,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_PURCHASE,TR_B,GL_OP,S1384,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_PURCHASE,TR_B,GL_OP,S1385,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_PURCHASE,BK_B,GL_OP,S1386,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_PURCHASE,BK_B,GL_OP,S1387,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_PURCHASE,TR_B,GL_OP,S1389,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_PURCHASE,BK_B,GL_OP,S1390,2019-Q2
N_A,INR,N_A,NPTDM,FDFDS,OTH_CON,TR_B,GL_OP,S1402,2019-Q2
N_A,INR,N_A,NPOUT,FDFDS,OTH_CON,TR_B,GL_OP,S1403,2019-Q2
N_A,INR,N_A,NPTDM,FDFDS,OTH_CON,BK_B,GL_OP,S1404,2019-Q2
N_A,INR,N_A,NPOUT,FDFDS,OTH_CON,BK_B,GL_OP,S1405,2019-Q2
N_A,INR,N_A,CREEQ,FDFDS,OTH_CON,TR_B,GL_OP,S1407,2019-Q2
N_A,INR,N_A,CREEQ,FDFDS,OTH_CON,BK_B,GL_OP,S1408,2019-Q2
N_A,INR,N_A,NPTDM,TERT,OTH_CON,TR_B,GL_OP,S1402,2019-Q2
N_A,INR,N_A,NPOUT,TERT,OTH_CON,TR_B,GL_OP,S1403,2019-Q2
N_A,INR,N_A,NPTDM,TERT,OTH_CON,BK_B,GL_OP,S1404,2019-Q2
N_A,INR,N_A,NPOUT,TERT,OTH_CON,BK_B,GL_OP,S1405,2019-Q2
N_A,INR,N_A,CREEQ,TERT,OTH_CON,TR_B,GL_OP,S1407,2019-Q2
N_A,INR,N_A,CREEQ,TERT,OTH_CON,BK_B,GL_OP,S1408,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FFC,TR_B,GL_OP,S1420,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FFC,TR_B,GL_OP,S1421,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FFC,BK_B,GL_OP,S1422,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FFC,BK_B,GL_OP,S1423,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FFC,TR_B,GL_OP,S1425,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FFC,BK_B,GL_OP,S1426,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1438,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1439,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1440,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1441,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_CURRENCY,TR_B,GL_OP,S1443,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_CURRENCY,BK_B,GL_OP,S1444,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1447,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1448,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1449,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1450,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_INTEREST_RATE,TR_B,GL_OP,S1452,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FUTURE_INTEREST_RATE,BK_B,GL_OP,S1453,2019-Q2
N_A,INR,N_A,NPTDM,N_A,OPTION_CURRENCY,TR_B,GL_OP,S1465,2019-Q2
N_A,INR,N_A,NPOUT,N_A,OPTION_CURRENCY,TR_B,GL_OP,S1466,2019-Q2
N_A,INR,N_A,NPTDM,N_A,OPTION_CURRENCY,BK_B,GL_OP,S1467,2019-Q2
N_A,INR,N_A,NPOUT,N_A,OPTION_CURRENCY,BK_B,GL_OP,S1468,2019-Q2
N_A,INR,N_A,CREEQ,N_A,OPTION_CURRENCY,TR_B,GL_OP,S1470,2019-Q2
N_A,INR,N_A,CREEQ,N_A,OPTION_CURRENCY,BK_B,GL_OP,S1471,2019-Q2
N_A,INR,N_A,NPTDM,N_A,OPTION_INTEREST_RATE,TR_B,GL_OP,S1474,2019-Q2
N_A,INR,N_A,NPOUT,N_A,OPTION_INTEREST_RATE,TR_B,GL_OP,S1475,2019-Q2
N_A,INR,N_A,NPTDM,N_A,OPTION_INTEREST_RATE,BK_B,GL_OP,S1476,2019-Q2
N_A,INR,N_A,NPOUT,N_A,OPTION_INTEREST_RATE,BK_B,GL_OP,S1477,2019-Q2
N_A,INR,N_A,CREEQ,N_A,OPTION_INTEREST_RATE,TR_B,GL_OP,S1479,2019-Q2
N_A,INR,N_A,CREEQ,N_A,OPTION_INTEREST_RATE,BK_B,GL_OP,S1480,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FRA,TR_B,GL_OP,S1483,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FRA,TR_B,GL_OP,S1484,2019-Q2
N_A,INR,N_A,NPTDM,N_A,FRA,BK_B,GL_OP,S1485,2019-Q2
N_A,INR,N_A,NPOUT,N_A,FRA,BK_B,GL_OP,S1486,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FRA,TR_B,GL_OP,S1488,2019-Q2
N_A,INR,N_A,CREEQ,N_A,FRA,BK_B,GL_OP,S1489,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,TR_B,GL_OP,S1501,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,TR_B,GL_OP,S1502,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,BK_B,GL_OP,S1503,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,BK_B,GL_OP,S1504,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,TR_B,GL_OP,S1506,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_CURRENCY_CROSSCURRENCYIRS,BK_B,GL_OP,S1507,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_CURRENCY_FCYINRIRS,TR_B,GL_OP,S1510,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_CURRENCY_FCYINRIRS,TR_B,GL_OP,S1511,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_CURRENCY_FCYINRIRS,BK_B,GL_OP,S1512,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_CURRENCY_FCYINRIRS,BK_B,GL_OP,S1513,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_CURRENCY_FCYINRIRS,TR_B,GL_OP,S1515,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_CURRENCY_FCYINRIRS,BK_B,GL_OP,S1516,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST,TR_B,GL_OP,S1519,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,TR_B,GL_OP,S1520,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST,BK_B,GL_OP,S1521,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST,BK_B,GL_OP,S1522,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,TR_B,GL_OP,S1524,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST,BK_B,GL_OP,S1525,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1528,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1529,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1530,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1531,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,TR_B,GL_OP,S1533,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_SINGLECURRENCYIRS,BK_B,GL_OP,S1534,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1537,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1538,2019-Q2
N_A,INR,N_A,NPTDM,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1539,2019-Q2
N_A,INR,N_A,NPOUT,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1540,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,TR_B,GL_OP,S1542,2019-Q2
N_A,INR,N_A,CREEQ,N_A,SWAP_INTEREST_BASIS,BK_B,GL_OP,S1543,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,TR_B,GL_OP,S1555,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,TR_B,GL_OP,S1556,2019-Q2
N_A,INR,N_A,NPTDM,N_A,CDS_SOLD,BK_B,GL_OP,S1557,2019-Q2
N_A,INR,N_A,NPOUT,N_A,CDS_SOLD,BK_B,GL_OP,S1558,2019-Q2
N_A,INR,N_A,CREEQ,N_A,CDS_SOLD,TR_B,GL_OP,S1560,2019-Q2
