COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,IRS_FCY_IN_USD_OTH,TABR,N_A,GL_OP,S2255,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,HABP,N_A,GL_OP,S2256,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,HABR,N_A,GL_OP,S2257,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRREC,TR_B,GL_OP,S2259,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRREC,BK_B,GL_OP,S2260,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRPD,TR_B,GL_OP,S2262,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRPD,BK_B,GL_OP,S2263,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,NPPVBP,N_A,GL_OP,S2266,2019-Q2
N_A,N_A,IRS_FCY_IN_USD_OTH,REM,N_A,GL_OP,S2267,2019-Q2
N_A,INR,RUPEE_FCFORWARD,TRBP,N_A,GL_OP,S2512,2019-Q2
N_A,INR,RUPEE_FCFORWARD,TABR,N_A,GL_OP,S2513,2019-Q2
N_A,INR,RUPEE_FCFORWARD,HABP,N_A,GL_OP,S2514,2019-Q2
N_A,INR,RUPEE_FCFORWARD,HABR,N_A,GL_OP,S2515,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRREC,TR_B,GL_OP,S2517,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRREC,BK_B,GL_OP,S2518,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRPD,TR_B,GL_OP,S2520,2019-Q2
N_A,INR,RUPEE_FCFORWARD,GRPD,BK_B,GL_OP,S2521,2019-Q2
N_A,INR,RUPEE_FCFORWARD,NPPVBP,N_A,GL_OP,S2524,2019-Q2
N_A,N_A,RUPEE_FCFORWARD,REM,N_A,GL_OP,S2525,2019-Q2
N_A,N_A,IRSINR,REM,N_A,GL_OP,S2539,2019-Q2
