DATAFLOW,FREQ,DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,TIME_PERIOD,AVAILABILITY,COLLECTION,OBS_STATUS,OBS_CONF,OBS_VALUE
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,2016,K,S,A,F,27150.86821
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HKD,USD,A,A,3,C,2019,K,S,A,F,82829.972011
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2001,K,S,A,F,102.75
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2004,K,S,A,F,192.499994
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2006,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2007,K,S,A,F,275.868416
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2008,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2010,K,S,A,F,482.202187
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2013,K,S,A,F,4995.115249
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2016,K,S,A,F,1842.045003
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,EUR,A,A,3,C,2019,K,S,A,F,5439.491081
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,1998,K,S,A,F,513.023804
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,1999,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2000,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2001,K,S,A,F,164.240306
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2004,K,S,A,F,840.724612
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2006,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2007,K,S,A,F,2998.558304
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2008,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2010,K,S,A,F,5385.483702
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2013,K,S,A,F,9943.641856
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2016,K,S,A,F,5605.229675
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,HUF,TO1,A,A,3,C,2019,K,S,A,F,13133.659499
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,1998,K,S,A,F,1213.62
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,1999,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2000,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2001,K,S,A,F,2681.680556
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2004,K,S,A,F,5523.099284
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2006,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2007,K,S,A,F,17806.057085
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2008,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2010,K,S,A,F,23290.083034
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2013,K,S,A,F,30690.028535
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2016,K,S,A,F,33475.265319
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,TO1,A,A,3,C,2019,K,S,A,F,62813.73487
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,1998,K,S,A,F,1158.215
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,1999,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2000,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2001,K,S,A,F,2519.235289
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2004,K,S,A,F,5157.10315
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2006,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2007,K,S,A,F,15819.65
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2008,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2010,K,S,A,F,22531.691302
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2013,K,S,A,F,29467.295629
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2016,K,S,A,F,32568.807962
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,INR,USD,A,A,3,C,2019,K,S,A,F,60530.208694
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1992,K,S,A,F,345.780319
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1993,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1994,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1995,K,S,A,F,244.185788
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1996,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1997,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1998,K,S,A,F,472.442754
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,1999,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2000,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2001,K,S,A,F,461.28823
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2004,K,S,A,F,2183.086678
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2006,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,AUD,A,A,3,C,2007,K,S,A,F,3683.789588
